1	How do I root my Android device?	rooting	This is a common question by those who have want to root their phones. How exactly do I root my Android device?
1	How to use PC's internet on android phone through USB cable	4.4-kitkat tethering reverse-tether usb-tethering	Please don't close this question. I've read all the duplicates but it didn't help. I'm using Android 4.4.2 (on Micromax Unite 2 - A106 ). I've a PC at home which has highspeed broadband internet connection. I don't have wireless router or access point. I just want to use PC's internet connection on my phone. I've tried multiple methods but none seems to work. Method 1: Using native Android 4.4.2 option In my phone when I connect my phone, in Settings &gt; Wireless &amp; networks &gt; USB Internet (sharing Windows PC internet via USB cable) checkbox, which I checked then it asked me to choose my Windows version (which is Windows 8.1 but since it didn't show that option) I chose Windows 8. It gives me further instructions as showing in the following picture: Here is the problem, there is no sharing tab (see the following screen shot) Method 2: As described in How to setup reverse tethering over usb I learned on this site that it is called Reverse tethering. I read and followed the procedure mentioned in How to setup reverse tethering over usb I followed all the steps described in that answer, until executing the command. Install USB drivers from Android SDK [DONE] Connect USB cable and activate USB Tethering (You should see on a new network interface.) [DONE] Bridge the 2 network interfaces [DONE] On your comput
1	What are the names of the various versions of the Android OS, and how are these names chosen?	android-versions	Many people refer to Android versions by "codenames" rather than version numbers (e.g. Android "Gingerbread"). What are the names of the various versions of the Android OS, and how are these names chosen?
1	''insufficient space on the device'' but my sd card has plenty space?	insufficient-memory storage	I bought my Android phone a month ago (a Prestigio 3350 Duo ) and installed maybe 5 apps on it, so according to the memory card I have almost 2 gb of free space, and 28 mb on internal storage. But when I try to install some apps it keeps showing off that message. I don't know why, tried to clear cache (which helped a little) but still I can't install an app of about 34 mb. Can someone help me fix this problem? I know there're similar posts but I appreciate any help. Thanks :) 
1	Where are saved pages stored?	samsung-galaxy-s-3 stock-browser	I have used the stock browser to save a page for offline reading.It is a .txt file, the browser only opens it and does not give me an option to download it. Where is the page stored, i would like to open it with another app. I have looked under /sdcard/Android/data But there is no com.android.browser folder or any other folder which looks like the right one. 
1	Application downloading error (919)	google-play-store 4.1-jelly-bean	I am experiencing a problem with Google Play in my Android phone.When I download new apps from the Play Store, it completes 100% and then shows me an error: (unknown Error code during application install:''919'') 
1	How can I install APK file on Bluestacks app player?	apk bluestacks	I have created an Android application using Eclipse, and now I'd like to install the APK on Bluestacks which is running on Windows 7. How can I install an APK on the Bluestacks player? 
1	What is the difference between GSM and WCDMA when switching to manual Network Mode?	settings cellular-radio mobile-network	I was reading this answer and I need to comprehend this better: What is the technical difference between "selecting GSM " and "selecting WCDMA " in Network Mode settings menu? To save battery life, I'm planning to switch from the automatic to the manual mode, and I want to know what happens if I stick to GSM or WCDMA. I am on HTC HD2 with Android 2.2 FroyoStone. 
1	How can I see what IP address my android phone has?	networking internet	I would like to know what IP-address my Android phone has. E.g. if I use my phone over WiFi, how can I get the local IP-address that is assigned to my phone? 
1	How can I stop applications and services from running?	applications boot task-management services auto-start	When my phone starts up there are several application/services running in the background that I would rather not. And when I press the Home button while using an app, that app usually goes into the background without exiting. How can I stop these apps from running? 
